2024-08-13 21:29:32,424 - INFO - Proxy works! IP address: 111.83.20.149
2024-08-13 21:29:32,920 - INFO - Proxy works! IP address: 111.83.20.149
2024-08-13 21:30:05,172 - INFO - Getting https://scholar.google.com/scholar?start=40&q=self-directed+learning+in+higher+education&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:30:07,116 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=40&q=self-directed+learning+in+higher+education&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:30:07,215 - INFO - Getting https://scholar.google.com/scholar?start=50&q=self-directed+learning+in+higher+education&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:30:08,742 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=50&q=self-directed+learning+in+higher+education&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:30:08,840 - INFO - Getting https://scholar.google.com/scholar?start=60&q=self-directed+learning+in+higher+education&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:30:10,714 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=60&q=self-directed+learning+in+higher+education&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:30:10,827 - INFO - Getting https://scholar.google.com/scholar?start=70&q=self-directed+learning+in+higher+education&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:30:12,746 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=70&q=self-directed+learning+in+higher+education&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:30:12,836 - INFO - Getting https://scholar.google.com/scholar?start=80&q=self-directed+learning+in+higher+education&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:30:14,237 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=80&q=self-directed+learning+in+higher+education&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:30:14,437 - INFO - Getting https://scholar.google.com/scholar?start=90&q=self-directed+learning+in+higher+education&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:30:15,959 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=90&q=self-directed+learning+in+higher+education&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:30:16,063 - INFO - Getting https://scholar.google.com/scholar?start=100&q=self-directed+learning+in+higher+education&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024
2024-08-13 21:30:18,241 - INFO - HTTP Request: GET https://scholar.google.com/scholar?start=100&q=self-directed+learning+in+higher+education&hl=en&as_sdt=0,33&as_ylo=2000&as_yhi=2024 "HTTP/1.1 200 OK"
2024-08-13 21:30:18,336 - INFO - Saved 100 results for query: self-directed learning in higher education
2024-08-13 21:30:18,336 - INFO - Getting https://scholar.google.com/scholar?hl=en&q=autonomous%20learning%20and%20motivation&as_ylo=2000&as_yhi=2024&as_vis=0&as_sdt=0,33
